,0
832,RIPK2_expression
833,RIPK4_expression
834,RNASEL_expression
835,ROCK1_expression
836,ROCK2_expression
837,ROR1_expression
838,ROR2_expression
839,ROS1_expression
840,RPA1_expression
841,RPGRIP1_expression
842,RPGRIP1L_expression
843,RPS6KA4_expression
844,RPS6KA5_expression
845,RPS6KB2_expression
846,RUNX1T1_expression
847,RXRG_expression
848,RYK_expression
849,SBK1_expression
850,SBK2_expression
851,SCEL_expression
852,SCN3B_expression
853,SCNN1B_expression
854,SCNN1G_expression
855,SCYL1_expression
856,SCYL2_expression
857,SCYL3_expression
858,SDCBP2_expression
859,SDHB_expression
860,SEC31A_expression
861,SERPIND1_expression
862,SETD7_expression
863,SFRP1_expression
864,SFRP2_expression
865,SFRP4_expression
866,SFRP5_expression
867,SGCB_expression
868,SGK1_expression
869,SGK2_expression
870,SGK3_expression
871,SH2D2A_expression
872,SHC1_expression
873,SHC2_expression
874,SHH_expression
875,SIAH1_expression
876,SIAH2_expression
877,SIK2_expression
878,SIK3_expression
879,SIX4_expression
880,SKP1_expression
881,SKP2_expression
882,SLC29A1_expression
883,SLC44A4_expression
884,SLK_expression
885,SMAD2_expression
886,SMAD3_expression
887,SMAD4_expression
888,SMAD6_expression
889,SMAD7_expression
890,SMAD9_expression
891,SMARCB1_expression
892,SMC1B_expression
893,SMO_expression
894,SMYD2_expression
895,SNAI1_expression
896,SNAI2_expression
897,SNRK_expression
898,SOS1_expression
899,SOS2_expression
900,SOST_expression
901,SP1_expression
902,SPC24_expression
903,SPC25_expression
904,SPRED1_expression
905,SRC_expression
906,SRF_expression
907,SRM_expression
908,SRPK1_expression
909,SRPK2_expression
910,SRPK3_expression
911,SRSF6_expression
912,SSH1_expression
913,SSH2_expression
914,ST13_expression
915,STAM_expression
916,STAT3_expression
917,STAT5A_expression
918,STAT5B_expression
919,STAT6_expression
920,STK10_expression
921,STK11_expression
922,STK16_expression
923,STK17A_expression
924,STK17B_expression
925,STK19_expression
926,STK24_expression
927,STK25_expression
928,STK3_expression
929,STK31_expression
930,STK32A_expression
931,STK32B_expression
932,STK32C_expression
933,STK33_expression
934,STK35_expression
935,STK36_expression
936,STK38_expression
937,STK38L_expression
938,STK39_expression
939,STK4_expression
940,STK40_expression
941,STMN1_expression
942,STRADB_expression
943,STYK1_expression
944,SUV39H2_expression
945,SYK_expression
946,SYMPK_expression
947,SYNE1_expression
948,TAF1_expression
949,TAOK1_expression
950,TAOK3_expression
951,TBCK_expression
952,TBK1_expression
953,TCF3_expression
954,TCF4_expression
955,TCF7L2_expression
956,TDP1_expression
957,TEC_expression
958,TECTA_expression
959,TEK_expression
960,TERT_expression
961,TESK1_expression
962,TESK2_expression
963,TEX14_expression
964,TFE3_expression
965,TFG_expression
966,TGFB1_expression
967,TGFBR1_expression
968,TGFBR2_expression
969,TGM3_expression
970,TICAM1_expression
971,TIPARP_expression
972,TLE1_expression
973,TLK1_expression
974,TLK2_expression
975,TLL1_expression
976,TLR1_expression
977,TLR2_expression
978,TLR3_expression
979,TLR4_expression
980,TLR5_expression
981,TMEM67_expression
982,TNFRSF10A_expression
983,TNFRSF10B_expression
984,TNFRSF10D_expression
985,TNFRSF1A_expression
986,TNFRSF1B_expression
987,TNFRSF8_expression
988,TNFSF10_expression
989,TNIK_expression
990,TNK1_expression
991,TNK2_expression
992,TNKS_expression
993,TNKS2_expression
994,TOE1_expression
995,TOP1_expression
996,TOP2A_expression
997,TP53_expression
998,TP53BP1_expression
999,TP53BP2_expression
1000,TP53RK_expression
1001,TP63_expression
1002,TP73_expression
1003,TPX2_expression
1004,TRADD_expression
1005,TRAF3IP2_expression
1006,TRAF6_expression
1007,TRAM1_expression
1008,TRIB3_expression
1009,TRIM24_expression
1010,TRIM28_expression
1011,TRIM33_expression
1012,TRRAP_expression
1013,TSC1_expression
1014,TSC2_expression
1015,TTBK1_expression
1016,TTBK2_expression
1017,TTC8_expression
1018,TTK_expression
1019,TTLL3_expression
1020,TTN_expression
1021,TUBB1_expression
1022,TWIST1_expression
1023,TXK_expression
1024,TYK2_expression
1025,TYMS_expression
1026,TYRO3_expression
1027,UBE2C_expression
1028,UBR5_expression
1029,UCK2_expression
1030,UHMK1_expression
1031,UHRF2_expression
1032,ULK1_expression
1033,UMPS_expression
1034,UPF1_expression
1035,UQCRC2_expression
1036,USP33_expression
1037,USP9X_expression
1038,VANGL2_expression
1039,VAV1_expression
1040,VAV2_expression
1041,VAV3_expression
1042,VBP1_expression
1043,VEGFA_expression
1044,VEGFB_expression
1045,VEGFC_expression
1046,VHL_expression
1047,VHLL_expression
1048,VRK1_expression
1049,VRK2_expression
1050,VRK3_expression
1051,WASF2_expression
1052,WASL_expression
1053,WDR75_expression
1054,WEE1_expression
1055,WEE2_expression
1056,WIF1_expression
1057,WNK1_expression
1058,WNK2_expression
1059,WNK3_expression
1060,WNK4_expression
1061,WNT10A_expression
1062,WNT10B_expression
1063,WNT11_expression
1064,WNT16_expression
1065,WNT2_expression
